 %1$S フォル	verboseFolderFormat, comp not found	%2$S の %1$S フォルダ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	10488
 (マ	fk, comp not found	フォークランド (マルビナス) 諸島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4639
%3$S の記事をダウンロードしています %1$S - %2$S	downloadingArticlesForOffline	self	Downloading articles %S-%S in %S	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	12839
%4$S のヘッダをフィルタを使用して取得しています: %1$S (%2$S / %3$S)	newNewsgroupFilteringHeaders	self	Getting headers for filters: %1$S (%2$S/%3$S) on %4$S	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	12822
%S %S と互換性のないアドオンがインストールされており、無効化する必要があります。互換性のあるバージョンが公開され次第、%S はこれらのアドオンを更新して再度有効化します。	incompatibleAddons_major	self	Some of your add-ons won't work with %S %S, and will be disabled. As soon as they are made compatible, %S will update and re-enable these add-ons:	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	16646
%S %S についての詳細を表示...	updateMoreInfoContentDownloading	self	Getting more details about %S %S…	phrase, no reading now	no comment	表示 [ひょうじ] (n,vs) indication/expression/display/presentation/(P)/<br>	firefox phrase	16618
%S %S には対応していません。	incompatibleAddonMsg	self	Not compatible with %S %S	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	15690
%S %S に今すぐアップグレードしますか？	intro_major_app_and_version	self	Do you want to upgrade to %S %S now?	phrase, no reading now	no comment	すか [すか] (n) (1) nonsense/(2) loss (on scratch lottery tickets, etc.)/<br>	firefox phrase	16623
%S %S に対応していないために無効化されています。	incompatibleExtension	self	Disabled - not compatible with %S %S	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	15685
%S %S のライセンスを表示...	licenseContentDownloading	self	Getting license for %S %S…	phrase, no reading now	no comment	表示 [ひょうじ] (n,vs) indication/expression/display/presentation/(P)/<br>	firefox phrase	16614
%S %S は %S %S に対応していないため、インストールできませんでした。	incompatibleMessage	self	%S %S could not be installed because it is not compatible with %S %S.	phrase, no reading now	no comment	ませんでした [ませんでした] (exp) (pol) suffix used to negate a verb in the past tense/<br>	firefox phrase	15674
%S (%S オブジェクト)	MediaTitleWithFile	self	%S (%S Object)	phrase, no reading now	no comment	オブジェクト [オブジェクト] (n) object/<br>	firefox phrase	3464
%S (%S 画像)	ImageTitleWithoutDimensions	self	%S (%S Image)	phrase, no reading now	no comment	画像 [がぞう] (n) image/picture/portrait/(P)/<br>	firefox phrase	3458
%S (%S 画像, %Sx%S px)	ImageTitleWithDimensionsAndFile	self	%S (%S Image, %Sx%S pixels)	phrase, no reading now	no comment	画像 [がぞう] (n) image/picture/portrait/(P)/<br>	firefox phrase	3456
%S (%S) のインストールに失敗しました。	pluginInstallation.install.error	self	Failed to install %S (%S).	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	16212
%S (既定)	defaultApp	self	%S (default)	phrase, no reading now	no comment	既定 [きてい] (n,adj-no) default/established/pre-arranged/fixed/predetermined/(P)/<br>	firefox phrase	15388
%S / %S KB 使	quotaUsedFree, comp not found	%S / %S KB 使用	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	10973
%S / %S KB 使用	quotaUsedFree	self	%S of %S KB used	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	10974
%S からのメッセージのインポート中にエラーが発生しました。メッセージはインポートされていません。空きディスク領域を増やしてやり直してください。	2004	self	An error occurred while importing messages from %S. Messages were not imported. Make more disk space available and try again.	phrase, no reading now	no comment	差異 [さい] (n) difference/disparity/(P)/<br>差違 [さい] (n) difference/<br>債 [さい] (n,n-suf) debt/loan/(P)/<br>再 [さい] (pref) re-/again/repeated/(P)/<br>最 [さい] (pref,adj-na) (1) the most/the extreme/(adj-t,adv-to) (2) prime/conspicuous/<br>才 [さい] (suf) (1) -years-old/(2) ability/gift/talent/aptitude/genius/(P)/<br>歳 [さい] (suf) (1) -years-old/(P)/<br>采 [さい] (n) (1) (abbr) dice/die/(2) baton (of command)/<br>犀 [さい] (n) rhinoceros/<br>細 [さい] (n) detail/details/<br>菜 [さい] (n) side dish/<br>裁 [さい] (n-suf) judge/<br>載 [さい] (n) 10^44/<br>際 [さい] (n-adv,n) on the occasion of/circumstances/(P)/<br>賽 [さい] (n) (1) (abbr) dice/die/(2) baton (of command)/<br>釵 [さい] (n) (MA) sai (an Okinawan weapon)/<br>	firefox phrase	7856
%S からアドレスをインポート中にエラーが発生しました。	ImportAddressFailed	self	An error occurred importing addresses from %S.	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	9430
%S からフィルタをインポート中にエラーが発生しました。	ImportFiltersFailed	self	An error occurred importing filters from %S.	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	9454
%S からメッセージをインポート中にエラーが発生しました。メッセージをインポートできませんでした。	2004	self	An error occurred while importing messages from %S. Messages were not imported.	phrase, no reading now	no comment	ませんでした [ませんでした] (exp) (pol) suffix used to negate a verb in the past tense/<br>	firefox phrase	7808
%S からメッセージフラグをダウンロードしています %lu/%lu	5037	self	%S Downloading message flag %lu of %lu	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	8701
%S からメッセージヘッダをダウンロードしています %lu/%lu	5036	self	%S Downloading message header %lu of %lu	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	8694
%S からメールをインポート中にエラーが発生しました。	ImportMailFailed	self	An error occurred importing mail from %S	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	9386
%S からローカルメッセージを正常にインポートしました。	2002	self	Local messages were successfully imported from %S	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	7822
%S から投稿されたフォーム	DefaultFormSubject	self	Form Post from %S	phrase, no reading now	no comment	フォー [フォー] (n) (1) fore/(2) four/<br>	firefox phrase	3454
%S から正常にローカルメッセージをインポートしました	2002	self	Local messages were successfully imported from %S	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	7784
%S から読み込んだアドレス帳を変換しています	AddrProgressMeterText	self	Converting address books from %S	phrase, no reading now	no comment	使丁 [してい] (n) servant/janitor/messenger/<br>姉弟 [してい] (n) older sister and younger brother/<br>子弟 [してい] (n) young(er) people/(P)/<br>師弟 [してい] (n) teacher and student/(P)/<br>指定 [してい] (n,vs) designation/specification/assignment/appointment/pointing at/(P)/<br>私邸 [してい] (n) private residence/(P)/<br>	firefox phrase	9484
%S から読み込んだメールボックスを変換しています	MailProgressMeterText	self	Converting mailboxes from %S	phrase, no reading now	no comment	使丁 [してい] (n) servant/janitor/messenger/<br>姉弟 [してい] (n) older sister and younger brother/<br>子弟 [してい] (n) young(er) people/(P)/<br>師弟 [してい] (n) teacher and student/(P)/<br>指定 [してい] (n,vs) designation/specification/assignment/appointment/pointing at/(P)/<br>私邸 [してい] (n) private residence/(P)/<br>	firefox phrase	9476
%S が存在しません。ダウンロード後に名前を変更、移動または削除されたようです。	fileDoesNotExistError	self	%S does not exist. It may have been renamed, moved, or deleted since it was downloaded.	phrase, no reading now	no comment	です [です] (aux) (pol) polite copula in Japanese/(P)/<br>	firefox phrase	15318
%S が有効な OPML ファイルでないか、ファイルのインポート中にエラーが発生しました。	subscribe-errorInvalidOPMLFile	self	Either %S is not a valid OPML file or there was an error importing the file.	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	14382
